#Econ.,Denominación,Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos netos
10000,Impost sobre la renda IRPF,1114659.52,0.0,1114659.52,279884.79
17100,Recàrrec IAE,450000.0,0.0,450000.0,138206.76
21000,Impost sobre el Valor afegit (IVA),1809066.1,0.0,1809066.1,534038.84
22000,Impost sobre l'alcohol i begudes derivades,18816.11,0.0,18816.11,4712.43
22001,Impost especial sobre la cervesa,6782.9,0.0,6782.9,1716.24
22003,Impost especial sobre el tabac,138416.6,0.0,138416.6,34707.03
22004,Impost especial sobre el combustible,219494.97,0.0,219494.97,54969.54
22006,Altres imposts especials,553.71,0.0,553.71,140.01
30900,Taxa Incendis,14202.0,0.0,14202.0,0.0
31100,Taxes Discapacitats,170000.0,0.0,170000.0,44200.47
31110,Taxes Residència de Gent Gran,780000.0,0.0,780000.0,117431.75
31130,Taxes Centre de dia d'Alzheimer,50000.0,0.0,50000.0,9059.56
32000,Taxes transferència caça i pesca fluvial,110000.0,0.0,110000.0,-26.21
32200,Taxes Habitabilitat,50000.0,0.0,50000.0,382.85
32300,Taxes Ordenació Territorial i Urbanisme,10000.0,0.0,10000.0,0.0
32500,Taxes Expedició de documents,3000.0,0.0,3000.0,0.0
32900,Taxes Centre acollida animals,18000.0,0.0,18000.0,4055.37
32901,Taxes ITV,1323498.85,0.0,1323498.85,157164.99
32920,Taxes Transports,36405.78,0.0,36405.78,726.87
32930,Taxes Ordenació Turística,65000.0,0.0,65000.0,569.24
32940,Taxes Agricultura i Pesca,85000.0,0.0,85000.0,4175.44
32950,Taxa Artesania,1000.0,0.0,1000.0,0.0
34100,PP.Serveis especials,35000.0,0.0,35000.0,3032.64
34200,Educació de persones adultes,50000.0,0.0,50000.0,0.0
34201,Matrícules Escola Art Dramàtic de Menorca,4000.0,0.0,4000.0,0.0
34310,Esports: Gabinet de Medicina Esportiva,3400.0,0.0,3400.0,572.0
34900,Productes Museu de Menorca,5000.0,0.0,5000.0,0.0
34901,PP Fira Arrels,0.0,0.0,0.0,0.0
36000,Venda Llibres,100.0,0.0,100.0,322.59
36001,Venda de productes de la granja escola,15000.0,0.0,15000.0,6098.03
36300,Vendes productes botiga Museu Menorca,0.0,0.0,0.0,886.16
38901,altres reintegraments d'operacions corrents,0.0,0.0,0.0,59149.88
39190,Sancions,300000.0,0.0,300000.0,0.0
39191,sancions transports,0.0,0.0,0.0,1522.4
39192,sancions turisme,0.0,0.0,0.0,108003.0
39193,sancions pesca,0.0,0.0,0.0,5162.0
39194,sancions carreteres,0.0,0.0,0.0,0.0
39195,sancions activitats classificades,0.0,0.0,0.0,0.0
39196,sancions patrimoni,0.0,0.0,0.0,0.0
39197,sancions urbanisme,0.0,0.0,0.0,0.0
39198,Sancions Caça,0.0,0.0,0.0,0.0
39211,Recàrrec de constrenyiment,2000.0,0.0,2000.0,414.56
39300,INTERESSOS DE DEMORA,0.0,0.0,0.0,27507.56
39900,Recursos eventuals,75000.0,0.0,75000.0,8588.58
42010,Fons complementari de Finançament,15240538.77,0.0,15240538.77,4141628.27
42090,Altres transf. corrents de l'Admin. General de l'Estat,225000.0,0.0,225000.0,0.0
42190,Gestió i conservació Finca Alforí de Dalt,80000.0,0.0,80000.0,2936.86
42200,Transferències corrents de fundacions estatals,0.0,0.0,0.0,65113.13
42300,Participació traveses,85000.0,0.0,85000.0,9227.17
42390,Altres organismes estatals,103000.0,0.0,103000.0,4873.32
45001,CAIB - Altres transferències incondicionades,49775333.27,0.0,49775333.27,49775333.27
45002,CAIB - Convenis en matèria d'acció social,1823282.17,0.0,1823282.17,487110.76
45030,CAIB - Convenis en matèria d'educació,75575.0,0.0,75575.0,0.0
45050,CAIB - Convenis en matèria de formació,0.0,0.0,0.0,-772.0
45060,CAIB - Altres convenis subscrits amb la CAIB,2191500.0,0.0,2191500.0,9432.12
45080,Altres subvencions CAIB (Sense conveni),1663457.2,0.0,1663457.2,295960.15
45200,Transferències de fundacions autonòmiques-IGA Menorca,20000.0,0.0,20000.0,0.0
45300,Posam valor a l'esport,33044.0,0.0,33044.0,0.0
46200,Extinció i prevenció d'incendis,1020455.02,0.0,1020455.02,0.0
46201,Ajuntaments - Biblioteques,78000.0,0.0,78000.0,0.0
46202,Ajuntaments - Educació d'Adults,253654.08,0.0,253654.08,0.0
46203,Ajuntaments - Serveis educatius educació primarenca,68521.96,0.0,68521.96,0.0
46204,Ajuntaments - Protecció Animal,84377.0,0.0,84377.0,8862.0
46205,Ajuntaments - Monuments Arquelògics,53333.33,0.0,53333.33,0.0
46206,Ajuntaments - Servei de riscos laborals,107115.82,0.0,107115.82,0.0
46207,Ajuntaments - Neteja de platges,600000.0,0.0,600000.0,0.0
46208,Ajuntaments - Manteniment carreteres,177592.73,0.0,177592.73,0.0
46212,IDE Menorca,49000.0,0.0,49000.0,14000.0
46213,Universitat Oberta Majors - Ajuntaments,8400.0,0.0,8400.0,0.0
47000,Conveni asseguradora incendis,400000.0,0.0,400000.0,68.55
47001,Altres transferències d'empreses privades,84462.5,0.0,84462.5,0.0
48000,Herència canera,30510.72,0.0,30510.72,0.0
49700,ALTRES TRANSFERÈNCIES DE LA UNIÓ EUROPEA.,143732.25,0.0,143732.25,116732.25
49751,Altres transferències de la UE MRR via CCAA,0.0,0.0,0.0,0.0
52000,Interessos,8500.0,0.0,8500.0,0.0
54900,Cessió d'ús parcial WIMAX,42600.0,0.0,42600.0,5895.0
55002,Cànon explotació Bar-Cafeteria Estació Autobusos Maó,4800.0,0.0,4800.0,0.0
68000,Reintegraments per operacions de capital d'exercicis tancats,0.0,0.0,0.0,0.0
72000,Transferències de l'Estat,11521041.07,0.0,11521041.07,0.0
72390,"Transferències capital de societats, EPEs i OOPP de l'Estat",1177146.18,0.0,1177146.18,0.0
75060,Altres transferències de capital - Convenis amb CAIB,2120753.7,0.0,2120753.7,287371.17
75080,CAIB - Altres transferències de Capital de la CA,6865520.58,0.0,6865520.58,6145520.58
75100,D'organismes autònoms i agències de les comunitats autònomes,0.0,0.0,0.0,0.0
75300,Conveni APB - CIM,1500000.0,0.0,1500000.0,0.0
76200,Pèrgoles Fotovoltaiques,588573.09,0.0,588573.09,0.0
77000,Transferències de capital d'empreses privades,0.0,0.0,0.0,49272.5
79721,Altres transferències de la UE via Estat MRR,0.0,0.0,0.0,200000.0
79751,Altres transferències de la UE MRR via CCAA,0.0,0.0,0.0,0.0
83000,Reintegrament prèstecs,375000.0,0.0,375000.0,64274.0
84100,DEVOLUCIÓ DE FIANCES.,0.0,0.0,0.0,1450.0
87000,Romanent de tresoreria per a despeses generals,0.0,0.0,0.0,0.0
87010,Romanent de tresoreria per a despeses amb finançam. afectat,0.0,0.0,0.0,0.0
91300,Préstecs,12700000.0,0.0,12700000.0,0.0
